Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC154,not_covered,weak,"TC154 describes decomposing a requirement and temporary links established, but contains no mention of a third-party RM tool or DOORS and provides no evidence that requirements are managed in such a tool.",—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC155,not_covered,weak,TC155 describes refining a requirement and establishing temporary links but does not reference or verify use of a third-party RM tool such as DOORS.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC156,not_covered,weak,TC156 describes modifying a requirement and tentative link status but contains no reference to DOORS or evidence that requirements are managed in a third-party RM tool.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC158,not_covered,weak,TC158 covers merging requirements and link reassignment but does not mention DOORS or demonstrate that requirements are managed in a third-party tool.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_covered,partial,"TC162 explicitly references DOORS and shows the system querying DOORS for requirement information, which demonstrates integration with a third-party RM tool. However, the test only exercises polling/reading quantitative information and constructing an event message; it does not assert that requirements are created, persisted, managed, synchronized, or that lifecycle operations (create/update/delete/merge/refine) are performed in DOORS nor does it cover error handling, authentication, or confirmation that DOORS is the authoritative management tool. Therefore coverage is partial.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC141,partially_covered,weak,"This test explicitly exercises establishing a trace between a UML artifact and a requirement, which is topically related to 'non-requirement artifacts'. However, it does not verify that the UML artifact is managed in a specified 3rd-party tool (Rational Rose/ClearCase) nor does it assert interactions with such tools (storage, retrieval, registration). Hence only weak topical alignment.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC142,partially_covered,weak,"The test references a 'UML artifact' which is semantically a non-requirement artifact (thus topically related). However, it does not assert or verify that the UML artifact is managed in a 3rd-party tool (e.g., Rational Rose or ClearCase), nor does it exercise management, synchronization, or storage behavior with such tools. Therefore it is only weakly related and only partially covers the requirement's topic.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC154,not_covered,weak,This test covers decomposing a requirement and temporary links; it does not reference external management of non-requirement artifacts.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC155,not_covered,weak,This test covers refining a requirement and link creation; it does not verify that non-requirement artifacts are managed in 3rd-party tools such as Rational Rose or ClearCase.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC157,not_covered,weak,This test covers deletion of a requirement and related link updates; it does not address management of non-requirement artifacts in external tools.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC162,not_covered,weak,This test focuses on event server constructing composite messages and polling DOORS for quantitative information; it does not assert that non-requirement artifacts are managed in Rational Rose or ClearCase or similar 3rd-party tools.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC165,not_covered,weak,This test concerns processing event messages and user decisions about tentative links; it does not reference management of non-requirement artifacts in 3rd-party tools.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC141,partially_covered,partial,"This test explicitly verifies the positive direction (a registered subscriber can establish a trace). It does not assert the prohibition for non-registered subscribers, so it only partially covers the full requirement.",—
