Requirement ID,Test Case,Verdict
RQ100,N/A,GAP
RQ101,N/A,GAP
RQ102,TC141,PARTIAL_VERIFIED
RQ102,TC142,PARTIAL_VERIFIED
RQ103,TC143,ASSERTION_VERIFIED
RQ103,TC144,PARTIAL_VERIFIED
RQ104,TC143,ASSERTION_VERIFIED
RQ104,TC144,PARTIAL_VERIFIED
RQ105,TC141,ASSERTION_VERIFIED
RQ105,TC142,PARTIAL_VERIFIED
RQ106,TC143,WEAK
RQ106,TC144,WEAK
RQ107,TC145,ASSERTION_VERIFIED
RQ108,TC146,ASSERTION_VERIFIED
RQ109,TC147,ASSERTION_VERIFIED
RQ110,TC148,ASSERTION_VERIFIED
RQ111,TC149,PARTIAL_VERIFIED
RQ111,TC150,PARTIAL_VERIFIED
RQ112,TC143,WEAK
RQ112,TC144,WEAK
RQ113,TC149,WEAK
RQ113,TC150,WEAK
RQ114,TC149,ASSERTION_VERIFIED
RQ115,TC151,ASSERTION_VERIFIED
RQ116,TC152,PARTIAL_VERIFIED
RQ117,TC152,ASSERTION_VERIFIED
RQ118,TC152,PARTIAL_VERIFIED
RQ119,TC152,ASSERTION_VERIFIED
RQ120,TC153,WEAK
RQ120,TC154,WEAK
RQ120,TC155,WEAK
RQ120,TC156,WEAK
RQ120,TC157,WEAK
RQ120,TC158,WEAK
RQ121,TC153,ASSERTION_VERIFIED
RQ122,TC154,ASSERTION_VERIFIED
RQ123,TC155,ASSERTION_VERIFIED
RQ124,TC156,ASSERTION_VERIFIED
RQ125,TC157,ASSERTION_VERIFIED
RQ126,TC158,ASSERTION_VERIFIED
RQ127,TC159,PARTIAL_VERIFIED
RQ128,TC159,ASSERTION_VERIFIED
RQ129,TC160,ASSERTION_VERIFIED
RQ130,TC159,ASSERTION_VERIFIED
RQ131,TC161,ASSERTION_VERIFIED
RQ132,TC162,ASSERTION_VERIFIED
RQ133,TC162,PARTIAL_VERIFIED
RQ134,TC162,PARTIAL_VERIFIED
RQ135,TC162,PARTIAL_VERIFIED
RQ136,TC162,PARTIAL_VERIFIED
RQ137,TC163,ASSERTION_VERIFIED
RQ137,TC164,WEAK
RQ138,TC165,ASSERTION_VERIFIED
RQ139,TC165,ASSERTION_VERIFIED
RQ140,TC165,ASSERTION_VERIFIED
