Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_verified,partial,True,"Demonstrates integration with DOORS to retrieve requirement data but does not assert comprehensive management policies such as that all requirements are stored there, CRUD enforcement, or DOORS outage handling."
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the provided tests mention or assert integration with third-party tools (Rational Rose, ClearCase) or the management of non-requirement artifacts within such tools. The candidate tests focus on trace establishment, subscriber behavior, event processing, and requirement lifecycle operations (delete, decompose, refine), so there is no assertion evidence covering RQ101."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,partially_verified,full,True,"Direct positive postcondition showing a registered subscriber can successfully establish a trace, which maps to the requirement's allowed behavior."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,partially_verified,full,True,"Direct negative postcondition showing an unregistered subscriber is prevented from establishing a trace, which maps to the requirement's denied behavior."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,partially_verified,full,True,Direct match: the test step explicitly states the subscriber performs registration and the postcondition asserts it is registered under the subscriber manager.
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC144,partially_verified,partial,True,Partial coverage: this exercises the abort/failure path of registration but does not assert successful registration or resulting persistent state.
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,partially_verified,partial,True,"Directly asserts registration and a postcondition that the subscriber is registered under the subscriber manager, but does not assert or exercise that the subscriber is 'under the control' (manager-issued control operations or lifecycle changes)."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,partially_verified,partial,True,Directly asserts a trace is established (core behavior) but does not specify the required subscription mechanism or the artifact->requirement directionality.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,partially_verified,partial,True,Provides a negative/error case showing trace creation can fail (authorization/registration) but does not demonstrate an artifact-initiated subscription or its exact semantics.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC147,partially_verified,partial,True,Demonstrates subscription semantics (subscriber manager -> requirement) and notification but does not assert the artifact-as-subscriber (artifact -> requirement) subscription required by RQ105.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC162,partially_verified,weak,True,"Implied use of artifact-requirement links and subscriber notification is shown, but there is no assertion of the user action creating an artifact->requirement subscription."
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC143,partially_verified,partial,True,Directly asserts registration of a 'subscriber' under a subscriber manager but does not assert placement for the generic class 'each artifact' or other artifact types.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC144,partially_verified,partial,True,Provides negative-case enforcement for subscribers but does not prove universal placement or handling for other artifact classes.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC147,partially_verified,weak,True,Indicates a subscriber manager has subscriptions to requirements (a type of artifact) but is weak evidence for the universal requirement that each artifact is placed under a subscriber manager.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC149,partially_verified,weak,True,Assumes registered subscribers exist under a manager (precondition) but lacks an explicit assertion that all artifacts are placed under a subscriber manager.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC162,partially_verified,weak,True,Shows linking of requirements to artifacts and routing to subscribers but does not assert that every artifact is placed under manager control or that placement is enforced for all artifact types.
RQ107,requirements.txt::chunk7,RQ107	The user shall be able to delete subscriptions.,TC145,partially_verified,full,True,"The test directly asserts the postcondition that 'The subscription has been deleted', satisfying the core happy path but not additional error or edge cases."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC148,no_assertion_evidence,partial,True,"Demonstrates the manager can retrieve notifications after coming online, but does not document an explicit registration action with the eventserver."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC161,no_assertion_evidence,partial,True,"Shows the eventserver knows subscriber managers and sends notifications, but does not assert the subscriber manager-initiated registration call or acknowledgement."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC147,partially_verified,full,True,"Explicitly asserts the online condition, labels the event as published in real time, and states the server sends the notification, directly matching the requirement's condition, push action, and timing aspect."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC149,partially_verified,partial,True,"Shows receipt and storage of server-sent notifications (consistent with push) but ""does not assert online state or real-time timing explicitly."""
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC150,partially_verified,partial,True,"Documents receipt and processing by the subscriber manager indicating push-like behavior, but ""lacks explicit online precondition and timing guarantee."""
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC161,partially_verified,partial,True,"Documents server-initiated sends and receipt (push model), but ""lacks an explicit online precondition and explicit 'real time' measurement/guarantee""."
RQ110,requirements.txt::chunk10,RQ110	Whenever the subscriber manager first comes on line; it shall implement the pull model to retrieve outstanding event messages from the eventserver.,TC148,assertions_verified,full,False,"The test directly constructs the offline-with-undelivered-messages scenario, transitions the subscriber manager online, and asserts successful download of those outstanding messages."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC149,partially_verified,full,True,'The relevant subscriber manager receives the event notification' and 'stored in the local event log' are both asserted in the test text.
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC150,partially_verified,full,True,'The relevant subscriber manager receives the event notification' and processing postcondition are both asserted in the test text.
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC148,partially_verified,partial,True,"The test asserts successful download of missed notifications but does not assert retry, backoff, acknowledgement, or failure handling behaviors."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC161,partially_verified,partial,True,The postcondition asserts receipt by subscriber managers but does not exercise error/negative/fault scenarios in the provided text.
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC141,partially_verified,partial,True,"Directly asserts successful trace establishment for a single artifact, covering core creation but not multi-artifact or lifecycle behaviors."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC142,partially_verified,partial,True,"Asserts prevention of trace creation by a non-registered subscriber, supporting access-control aspects but not full management capabilities."
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC149,partially_verified,partial,True,Shows a distinct handling outcome for a non-speculative event but does not assert that the subscriber manager explicitly classified the message as evolutionary at receipt.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC150,partially_verified,partial,True,States processing of a speculative notification but lacks an explicit assertion that a differentiation decision (speculative vs evolutionary) was performed and recorded at receipt.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC152,partially_verified,partial,True,Directly asserts detection of a speculative event but does not assert the complementary detection/decision for evolutionary events or an explicit classification attribute recorded at receipt.
RQ114,requirements.txt::chunk14,RQ114	The subscriber manager shall store information for evolutionary events in an eventlog.,TC149,partially_verified,partial,True,"Directly asserts storing non-speculative event notification in the local event log but does not verify evolutionary labeling, stored content/metadata, persistence guarantees, error handling, or retrieval."
RQ115,requirements.txt::chunk15,RQ115	The user shall be able to construct speculative queries using a GUI.,TC151,assertions_verified,full,False,The test step explicitly instructs construction via a GUI tool and the postcondition verifies receipt of a speculative event message by the event server.
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC150,partially_verified,partial,True,"Shows receipt and processing of event notifications but does not assert immediacy, timing bounds, or prioritization for speculative events."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC152,partially_verified,partial,True,Covers end-to-end processing of speculative events but contains no assertion about timing/latency or that processing begins 'immediately'.
RQ117,requirements.txt::chunk17,RQ117	The subscriber manager shall re execute the model using the speculative values.,TC152,assertions_verified,full,False,"The test text directly prescribes injection of values and re-execution of the performance model by the subscriber manager, matching the requirement."
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC152,partially_verified,partial,True,"The test asserts model execution, result collation, and response return but does not assert that results indicate whether the speculative change negatively impacts other requirements/constraints."
RQ119,requirements.txt::chunk19,RQ119	The subscriber manager shall restore the executable model to its prior state.,TC152,partially_verified,partial,True,"The test description explicitly includes restoration of the model to its prior state as a step/postcondition, but it is a high-level description lacking concrete assertions and coverage of edge/error cases."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC153,assertions_verified,full,False,"Precondition asserts the driver is running and postcondition asserts a new event message is sent, directly supporting that a driver is used to trigger the event."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC154,assertions_verified,full,False,"Precondition asserts the driver is running and postcondition asserts a decompose event message is sent, directly supporting that a driver is used to trigger the event."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC155,assertions_verified,full,False,"Precondition asserts the driver is running and postcondition asserts a refine event message is sent, directly supporting that a driver is used to trigger the event."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC156,assertions_verified,full,False,"Precondition asserts the driver is running and postcondition asserts a modify event message is sent, directly supporting that a driver is used to trigger the event."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC158,assertions_verified,full,False,"Precondition asserts the driver is running and postcondition asserts a merge event message is sent, directly supporting that a driver is used to trigger the event."
RQ121,requirements.txt::chunk21,RQ121	Event types shall include adding new requirements.,TC153,assertions_verified,full,False,The test case TC153 explicitly defines an 'Add New Requirement' test and includes the step 'The user adds a new requirement' plus the post-condition that an event message is sent.
RQ122,requirements.txt::chunk22,RQ122	Event types shall include decomposing one requirement into two or more requirements.,TC154,assertions_verified,full,False,"The test's post conditions explicitly assert that the requirement is decomposed into two or more events and that a decompose event message is sent, directly covering the requirement."
RQ123,requirements.txt::chunk23,RQ123	Event types shall include refining one requirement by adding an additional requirement to the existing one.,TC155,assertions_verified,full,False,"The test steps and post-condition explicitly describe refining an existing requirement by adding an additional related requirement, directly satisfying the requirement."
RQ124,requirements.txt::chunk24,RQ124	Event types shall include modifying a requirement.,TC156,assertions_verified,full,False,"The test directly invokes a modify event, verifies the requirement change, and asserts a modify event message is sent, which aligns with the requirement that event types include modifying a requirement."
RQ125,requirements.txt::chunk25,RQ125	Event types shall include deleting a requirement.,TC157,assertions_verified,full,False,"The quoted test lines explicitly invoke and assert behavior for a delete event, directly satisfying the requirement that event types include deleting a requirement."
RQ126,requirements.txt::chunk26,RQ126	Event types shall include merging requirements.,TC158,assertions_verified,full,False,"The test explicitly names and exercises a 'merge' event and asserts the merge outcome and related messaging/links, directly matching the requirement that event types include merging requirements."
RQ127,requirements.txt::chunk27,RQ127	The eventserver shall receive event messages when a requirement changes.,TC153,partially_verified,partial,True,Shows sender behavior that adding a requirement sends an event message but lacks receiver confirmation that the eventserver received it.
RQ127,requirements.txt::chunk27,RQ127	The eventserver shall receive event messages when a requirement changes.,TC156,partially_verified,partial,True,Shows sender behavior that modifying a requirement sends a modify event message but does not verify the eventserver receives that message.
RQ127,requirements.txt::chunk27,RQ127	The eventserver shall receive event messages when a requirement changes.,TC159,partially_verified,partial,True,Shows the eventserver can receive and process an incoming event message but does not tie the incoming message specifically to a requirement change.
