Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us1005.c,partially_verified,full,True,"Directly asserts successful server-generated-key provisioning (happy-path), but provides no coverage of error/boundary conditions or media-type/header verification for the provisioning response."
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us1005.c,partially_verified,full,True,"Asserts configuration of HTTP auth and successful provision_cert operation, validating HTTP-layer API behavior."
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us1883.c,partially_verified,full,True,"Sets server to a TCP port and asserts certificate parsing from a TLS response, supporting TLS-over-TCP behavior."
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us3496.c,partially_verified,full,True,Directly asserts HTTP-layer validation (invalid path segment) demonstrating HTTP URI/path handling behavior.
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us4020.c,partially_verified,full,True,Same as above: explicit TCP port and successful enroll assertion supports HTTPS-over-TCP behavior.
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us4020.c,partially_verified,full,True,"Sets server to a TCP-labeled port and asserts successful enrollment, directly supporting TLS-over-TCP behavior."
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us4020.c,partially_verified,full,True,"Directly asserts EST_ERR_IP_CONNECT, providing explicit TCP-layer failure evidence."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us898.c,partially_verified,full,True,Direct success assertion for CSR-ATTRS extension (happy-path); no assertions for HTTP header or content-type correctness or negative responses.
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us898.c,partially_verified,full,True,"Asserts successful csrattrs and reenroll, and also asserts an auth-failure path (EST_ERR_AUTH_FAIL earlier in the test), covering HTTP auth behavior and successful re-enroll."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us899.c,partially_verified,full,True,"Directly asserts successful retrieval of CSR attributes (happy-path) demonstrating CSR-ATTRS extension use, but does not validate headers/media-type or error cases."
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us899.c,partially_verified,full,True,Successful CSR attributes retrieval and enroll assertions indicate functioning TLS/TCP client-server interactions.
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us899.c,partially_verified,full,True,"Directly asserts successful CSR-ATTRS retrieval and enroll (EST_ERR_NONE), validating successful EST operations over the transport stack from the test perspective."
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us901.c,partially_verified,full,True,"Directly asserts SSL_connect success/failure, demonstrating TLS handshake semantics over the stream BIO (TCP) transport."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us903.c,partially_verified,full,True,"Directly asserts CSR-ATTRS success and is accompanied by an in-test comment marking a test-only hack, indicating non-production test behavior; still missing header/media-type assertions."
