Requirement,Test Case,Verdict
RQ4,us1864.c,partial 
RQ4,us901.c,partial 
RQ4,us1005.c,partial 
RQ4,us3512.c,partial 
RQ4,us895.c,partial 
RQ4,us897.c,full
RQ4,us900.c,partial 
RQ6,us1005.c,partial 
RQ6,us1159.c,weak
RQ6,us3496.c,weak
RQ6,us3512.c,weak
RQ6,us3612.c,weak
RQ6,us4020.c,weak
RQ6,us748.c,weak
RQ6,us893.c,partial 
RQ6,us895.c,weak
RQ6,us896.c,weak
RQ6,us897.c,partial 
RQ6,us898.c,partial 
RQ6,us899.c,weak
RQ6,us900.c,weak
RQ8,us1005.c,partial 
RQ8,us1159.c,partial 
RQ8,us1883.c,partial 
RQ8,us2174.c,partial 
RQ8,us3496.c,weak
RQ8,us3512.c,partial 
RQ8,us3612.c,weak
RQ8,us4020.c,partial 
RQ8,us748.c,partial 
RQ8,us893.c,partial 
RQ8,us895.c,weak
RQ8,us896.c,weak
RQ8,us897.c,partial 
RQ8,us898.c,full
RQ8,us899.c,partial 
RQ8,us900.c,weak
RQ11,us1159.c,partial 
RQ11,us1883.c,partial 
RQ11,us2174.c,partial 
RQ11,us3512.c,weak
RQ11,us3612.c,weak
RQ11,us4020.c,weak
RQ11,us748.c,weak
RQ11,us898.c,weak
RQ11,us899.c,weak
RQ13,us1864.c,weak
RQ13,us901.c,partial 
RQ13,us1005.c,partial 
RQ13,us1159.c,partial 
RQ14,us1864.c,weak
RQ14,us901.c,partial 
RQ15,us1060.c,partial 
RQ16,us1060.c,partial 
RQ16,us1864.c,partial 
RQ18,us1060.c,partial 
RQ18,us1864.c,partial 
RQ18,us1159.c,partial 
RQ18,us4020.c,partial 
RQ18,us893.c,partial 
RQ18,us899.c,partial 
RQ19,us1005.c,partial 
RQ20,us1864.c,partial 
RQ20,us901.c,full
RQ20,us1005.c,partial 
RQ20,us1159.c,partial 
RQ20,us3496.c,weak
RQ20,us3512.c,partial 
RQ20,us3612.c,weak
RQ20,us4020.c,weak
RQ20,us748.c,partial 
RQ20,us893.c,weak
RQ20,us895.c,partial 
RQ20,us896.c,weak
RQ20,us897.c,partial 
RQ20,us898.c,partial 
RQ20,us899.c,partial 
