Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us1005.c,partially_verified,full,True,"Directly asserts est_client_provision_cert returns EST_ERR_NONE, evidencing client-side invocation of the server-generated-keys provisioning API."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us893.c,partially_verified,full,True,"Directly asserts CSR-ATTRS retrieval and reenroll/copy operations succeed, demonstrating client-side end-to-end flow."
RQ1,RQ1.txt::chunk1,"This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272]",us898.c,partially_verified,full,True,"Asserts enrollment fails without valid HTTP auth (EST_ERR_AUTH_FAIL) and reenroll succeeds (EST_ERR_NONE), directly verifying authentication/authorization gating in EST flows."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us898.c,partially_verified,full,True,"Directly asserts successful retrieval of CSR attributes and successful enroll, supporting client-side CSR-ATTRS behavior."
RQ1,RQ1.txt::chunk3,". EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS",us899.c,partially_verified,full,True,"Directly asserts est_client_get_csrattrs returns EST_ERR_NONE and a subsequent enroll succeeds, evidencing client-side CSR-ATTRS usage over TLS."
RQ1,RQ1.txt::chunk4,". HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other.",us901.c,partially_verified,full,True,Direct assertion on SSL_connect result (CU_ASSERT(rv > 0) / CU_ASSERT(rv <= 0)) demonstrates the test exercises a TLS handshake (which the implementation opens over a TCP socket).
RQ1,RQ1.txt::chunk1,"This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272]",us903.c,partially_verified,full,True,"Sets HTTP basic auth and asserts get_csrattrs and enroll success (EST_ERR_NONE), validating HTTP-based authentication gating enrollment."
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us1005.c,partially_verified,partial,True,"Auth configuration and successful provision_cert assertions indicate HTTP signaling and server interaction over TLS but provide no assertion of TLS cipher suite, negotiated parameters, or server accept/listen integration."
RQ1,RQ1.txt::chunk1,"This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272]",us1159.c,partially_verified,partial,True,Asserts est_client_init and est_client_enroll_csr() success (EST_ERR_NONE) demonstrating enrollment API success but does not assert TLS version or HTTP-layer specifics.
RQ1,RQ1.txt::chunk5,"EST Layering: Protocols:
   +--------------------------------------------+
   |                                            |
   | EST request/response messages              |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | HTTP for message transfer and signaling    |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TLS for transport security                 |
   |                                            |
   +--------------------------------------------+
   |                                            |
   | TCP for transport                          |
   |                                            |
   +--------------------------------------------+
Figure 1",us1159.c,partially_verified,partial,True,Successful enroll_csr and retrieval assertions demonstrate HTTP/TLS client-server exchange semantics but do not validate raw HTTP message contents or TLS negotiation details.
