Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1005.c,partially_covered,partial,"Retrieves enrolled cert and copies cacerts; tests client copy routines but not architecture or CA rollover model. | This test calls est_client_provision_cert (client API used to obtain a certificate from server possibly using server-generated keys) and asserts success. It exercises the server-generated-keys/provision path from client side but does not demonstrate server registration of new extension functions or HTTP header/media-type assertions; thus partial confidence. | Header includes only; no executable assertions. | Test sets HTTP auth credentials, configures server address/port and invokes a provisioning action over the client API; success assert indicates HTTP messaging and TLS-based transport were exercised. Not all error paths/boundaries are asserted so confidence is partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1060.c,not_covered,weak,"The test chunk contains base64-like data (no assertion macros or checks). With no concrete requirement behavior specified, this test cannot be shown to verify 'REQUIREMENT 1'.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1159.c,partially_covered,partial,"This test contains assertions that check key, req allocation and populate_x509_request return value. However, the requirement text provides no concrete behavior to verify, so although this test has assertions, it cannot be said to cover 'REQUIREMENT 1'. | Test initializes an EST client, sets authentication (user id/password), configures server, and calls est_client_enroll_csr() asserting EST_ERR_NONE. This demonstrates a successful enroll flow that exercises EST client APIs which establish TLS/HTTP connections and uses HTTP auth credentials; however the test does not assert TLS version negotiation nor HTTP-level details, so it partially satisfies the requirement. | This chunk sets HTTP auth credentials, sets server, calls est_client_enroll_csr and then retrieves the enrolled cert asserting successful outcomes. It exercises enrollment over EST and HTTP auth, but does not assert TLS version or lower-level HTTP method semantics. | Similar to other us1159 chunks: establishes auth, server, performs enroll_csr, copies enrolled cert and asserts success. Demonstrates EST enrollment with auth; lacks TLS-version and explicit HTTP checks. | Performs est_client_enroll with HTTP auth set and asserts success; demonstrates EST enrollment authenticated via HTTP, but no TLS-version or HTTP-level checks. | Performs a simple enroll with auth; does not assert the architectural claims in the requirement. | Enforces enroll_csr and copy_enrolled_cert behavior from client perspective; does not verify architecture or CA rollover model. | Same as chunk41; client-side enrollment/copy tests do not assert the architectural statements. | Calls est_client_force_pop and enroll_csr; tests client behavior, not architecture or CA-rollover model. | This test exercises enroll_csr and asserts a BAD REQUEST path. It does not exercise CSR attribute retrieval nor server-generated key provisioning; it does not verify HTTP-over-TLS headers/media types. | Performs CSR enroll and copies result; does not demonstrate requesting CSR attributes or requesting server-generated keys explicitly. | Same as chunk41: successful enroll asserted, but no direct CSR-ATTRS or provisioning API use shown here. | This chunk manipulates CSR attributes locally and forces POP; it does not call est_client_get_csrattrs or provisioning APIs to demonstrate the server-side extension behaviors described in the requirement. | Header includes only. | The test asserts an HTTP-level error (EST_ERR_HTTP_BAD_REQ) when attempting enroll, indicating HTTP signaling behavior is being exercised over the transport. It does not fully exercise successful layered message flows, so partial. | This test performs enroll and then copies the enrolled cert, asserting success. Demonstrates end-to-end EST request/response over HTTP/TLS to a configured TCP endpoint. Good evidence of layers on the happy path. | Duplicate/alternate test demonstrating successful enroll and copy operations, implying HTTP TLS transport and EST message exchange; partial confidence due to limited boundary assertions. | This chunk manipulates CSR attributes and initializes client context; while related to EST message content (CSR/PoP), it does not directly assert transport layer interactions in this snippet, so coverage is weak/partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1864.c,not_covered,weak,Chunk is certificate-like/base64 data with no assertions; requirement unspecified so no coverage. | Headers only.,est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1883.c,partially_covered,partial,"Contains certificate-like data and no assertion evidence; cannot verify the undefined requirement. | This chunk shows client context creation and enabling HTTP token auth and setting auth callback. It configures authentication but does not perform or assert an enroll operation over EST/TLS; thus it provides weak topical evidence related to authentication setup but not end-to-end enrollment verification. | This chunk shows EST client initialization and setting of auth credential callback; it prepares for enrollment but does not itself assert enrollment success/failure or TLS specifics, so evidence is weak. | This chunk performs est_client_enroll and copies the enrolled cert, asserting success. It demonstrates an EST enroll operation with expected results; TLS-version and HTTP-level specifics are not asserted. | Client enroll and copy enrolled cert; no architecture-level assertions tested. | This test parses PKCS7 data and asserts certificate extraction; it does not invoke or assert behavior of CSR-ATTRS, server-generated keys, or the HTTP-over-TLS transfer semantics in the requirement. | Sets server to a TCP port and performs PKCS7 parsing assertions; however no assertions about transport-layer behavior or TLS handshake are present in this snippet. | This chunk configures HTTP token auth and auth callback; it affects HTTP-level signaling but does not itself perform network exchanges in this snippet, so coverage of the layered runtime behavior is weak/partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us2174.c,partially_covered,partial,"Contains certificate-like/base64 content without assertion checks. Cannot demonstrate coverage of the unspecified requirement. | Certificate-like data only; no assertions and no mapping to the unspecified requirement. | This test invokes a simple enroll with a token-based authentication callback and asserts callback execution and successful enroll. This verifies authentication-mode behavior in EST enrollment flows, contributing partial coverage of the requirement (no TLS-version assertions). | This helper performs client init, sets auth credential callback, sets proxy server, generates key and calls est_client_enroll asserting success. It verifies enroll behavior under proxy/auth callback conditions; does not assert TLS version specifics. | This chunk shows enabling token auth and setting auth callback after previously obtaining a cert. It demonstrates authentication-mode switching but does not itself perform or assert an EST enroll over TLS/HTTP. | This helper initializes client and sets auth callback and server; it prepares for enroll but does not itself demonstrate enroll over TLS/HTTP in this chunk. | Client enroll test via simplified API; contains no checks about server-CA interactions or RA behavior. | Retrieves enrolled cert and reinitializes client context; no tests verifying EST <-> CA interactions or CMP rollover adoption. | Client initialization and server setting are present, but no direct assertions invoking CSR attribute retrieval or server-generated-key provisioning in this chunk. | This chunk copies enrolled certs and toggles token auth; it does not show explicit CSR-ATTRS retrieval nor provisioning server-generated keys in the provided text. | This chunk shows client enroll success; it does not explicitly call CSR-ATTRS or provisioning APIs present in the requirement text. | This test sets the EST server using a symbol named US2174_TCP_PORT which signals use of a TCP port, but there is no assertion or network handshake in the snippet that verifies behavior over TCP; evidence is suggestive but incomplete. | This chunk shows use of enrolled cert retrieval and switching auth mode to HTTP token; it indirectly demonstrates HTTP-level auth/signaling, but does not directly show network-layer interactions in this chunk, so evidence is weak/partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3496.c,partially_covered,partial,"Certificate-like content; no assertions. Cannot be linked to 'REQUIREMENT 1' which lacks detail. | This test asserts invalid URI path segment handling (HTTP path validation). While related to HTTP/URI handling, it does not exercise CSR-ATTRS or server-generated-keys extensions, nor does it assert usage of headers/media types over TLS. | This test asserts an error returned for an invalid URI path segment. It verifies HTTP path validation behavior, not transport (TCP vs DTLS/UDP). | This test asserts an HTTP-level validation error for invalid URI path segment when setting server; it demonstrates HTTP URI-level validation (signaling layer). It does not itself exercise TLS or TCP transport in this chunk, so partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3512.c,partially_covered,partial,"Chunk contains base64-like data; no assertion evidence. Requirement lacks detail so no coverage can be established. | Certificate/base64 content without assertions. Cannot claim coverage of an unspecified requirement. | This helper reads CA certs and initializes EST client context; no enroll operation/assertion present in this chunk to demonstrate authenticated/authorized EST enrollment over TLS/HTTP. | Client-side copy of enrolled cert; does not exercise or assert EST-CA architectural claims. | Client auth and enroll testing; no assertions about EST acting as RA or communications with CA. | Client get_csrattrs and enroll; exercises client API but does not verify EST acting between CA and client or RA-like behavior. | Starts a proxy on a named TCP proxy port but contains no assertions verifying transport semantics (TCP vs UDP) or the TLS handshake; only setup calls are shown. | Initializes client and sets server (using a TCP proxy port symbol) and asserts init/auth return codes; there is no explicit networking/TLS handshake assertion in this snippet. | This test sets server (including a path segment), retrieves CSRATTRS and enrolls successfully—showing HTTP messaging (URI/path handling), TLS transport, and TCP endpoint use. Core happy path covered; boundaries not exhaustive. | The test configures server URI path segments and clears globals used to validate server-side path receipt; this demonstrates HTTP URI/path handling but does not itself assert network-layer message exchange in this chunk. | This chunk is header/includes and extern declarations only; it does not contain runtime assertions or use of client/server APIs to exercise the protocol layering. | Sets server with path segment and clears path-segment verification global. Indicates URI-level handling in HTTP layer but not direct network-layer assertions in this chunk. | Uses a TCP proxy port and path segment—indicates configuration for transport/proxy and HTTP URI handling. This chunk doesn't perform the full request/response exchange here; evidence is weak/partial.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3612.c,not_covered,weak,This chunk contains post-enroll retrieval assertions and cleanup; it does not itself assert enrollment or explicit authentication behavior. | Header includes only; no assertions or transport-specific verification.,est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us4020.c,partially_covered,partial,"Client enroll with domain name and authentication; functional client behavior only. | This chunk shows successful enroll using TLS/auth but does not explicitly call CSR-ATTRS or provisioning APIs. | This test performs an enroll operation and asserts EST client API returns EST_ERR_NONE, implying a successful TLS/TCP connection and EST-over-HTTPS flow. It directly supports the HTTPS-over-TCP part of the requirement, but does not test DTLS/UDP nor the claim about non-specification of HTTP/DTLS/UDP. | Header includes demonstrate use of OpenSSL and HTTP client libraries but contain no executable assertions about transport behavior. | Similar to chunk39: test asserts successful enroll via client APIs that perform TLS session establishment indicating EST over TLS/TCP; it does not exercise or mention DTLS/UDP. | Configures auth, sets server with explicit TCP port, and successfully performs enroll; demonstrates HTTP requests over TLS to a TCP endpoint. Core happy path for layering is covered; boundary/error behavior not fully exercised. | Same pattern: server IP/port configured and enroll invoked successfully. Demonstrates HTTP over TLS to a TCP endpoint; partial because not all layer behaviors/boundaries are asserted. | This test asserts EST_ERR_IP_CONNECT in response to an enroll attempt; that explicitly shows the client attempted a TCP/IP connection and failed, giving direct evidence of TCP transport and connection behavior in the EST client. It does not assert higher-level HTTP success, so partial. | Sets server with TCP port and performs a successful enroll; evidence of HTTP/TLS operation to a TCP address—covering the requirement's layering in a typical flow. | Another enroll success with explicit TCP port—demonstrates HTTP messages over TLS to a TCP endpoint; partial confidence due to limited boundary testing.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
