Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1005.c,partially_covered,partial,"This test demonstrates both enrolled cert and CA cert copy operations from client context, which supports EST providing CA and enrollment services to clients. It does not validate server<->CA comms or rollover process. | This test directly calls est_client_provision_cert and asserts success, providing direct evidence the client can invoke server-generated keys provisioning. It does not test error paths, content negotiation, or full protocol boundary/negative cases, so confidence is partial. | Header includes only. | Sets HTTP auth credentials, configures server/port (TCP) and performs provisioning API that relies on HTTP/TLS transport; asserts successful end-to-end operation.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1060.c,not_covered,weak,The test chunk contains data unrelated to any specified behavior in the requirement. The requirement text provides no actionable behavior to verify; no assertion links to 'REQUIREMENT 1'.,est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1159.c,partially_covered,partial,"This test contains assertions, but the requirement text provides no behavior or acceptance criteria to which these assertions can be mapped. Therefore, despite usable assertions, they cannot be said to verify 'REQUIREMENT 1'. | This test initializes an EST client, sets HTTP auth credentials, configures the server, and asserts enroll success via est_client_enroll_csr; that exercises enrollment and authentication flow over the EST client APIs (which internally establish TLS). It does not, however, assert TLS protocol/version, HTTP request details, or CMC message usage. | Similar to other enroll tests: sets auth, server and performs enroll_csr and copies cert, asserting success. Demonstrates authenticated enrollment flow but not TLS version or HTTP-level assertions. | Duplicate/similar sequence to chunk41: initialization, auth, server, enroll_csr and retrieval, asserting success; provides evidence of authenticated enrollment behavior but not transport-level specifics. | Simple enroll with HTTP auth set and server configured, asserting success; demonstrates authenticated enrollment behavior but not explicit transport/protocol verification. | Client enroll operations indicate EST acting to provision certificates (an RA-like function) but there is no verification of EST<>CA communication or CA rollover semantics. | Shows client CSR enrollment and retrieval of enrolled cert from EST server (client-facing provisioning), but does not verify server<->CA communication or rollover. | Duplicate flow demonstrating CSR enrollment and retrieval, supporting EST client provisioning behavior but not server<>CA interactions. | Initialization and forced PoP with subsequent enrollment show client use cases consistent with EST providing RA-like services to clients; no server<>CA interactions or rollover tested. | Exercises client auth and enroll_csr API and checks an HTTP error code, but does not call est_client_get_csrattrs or est_client_provision_cert; not direct evidence of the two extensions or explicit HTTPS header/media-type behavior. | This chunk exercises enroll_csr and copying the enrolled cert but does not exercise CSR-ATTRS, provisioning, or header/media-type TLS specifics. | Same as chunk41: enroll flow validated but not the requirement's extensions or HTTP/TLS header/media-type behavior. | Manipulates CSR attributes client-side and forces POP; does not invoke retrieval of server CSR attributes or server-generated key provisioning. | Header includes only; no test assertions. | The test demonstrates HTTP response mapping (BAD_REQ) for an enroll operation; it shows HTTP-level behavior but focuses on a negative HTTP-path rather than full layering coverage. | Successful enroll and subsequent copy of enrolled certificate demonstrates client-server exchange and TLS certificate handling across the EST HTTP APIs. | Same as chunk41: demonstrates HTTP enroll operation and TLS certificate handling successfully. | Initializes client context and forces PoP (protocol-level behavior relating to TLS/CSR), but chunk focuses on CSR content limits and client setup rather than explicit network exchanges.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1864.c,not_covered,weak,No mapping possible between test content and the unspecified requirement. | Header includes only.,est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us1883.c,partially_covered,partial,"Certificate-like data only; no assertions that relate to the requirement. | This snippet shows client initialization, switching server to token mode and setting an auth credential callback, exercising authentication configuration relevant to an authenticated/authorized EST channel. It lacks explicit TLS version or HTTP request assertions. | This sets up client context, auth callback and server, but in this chunk there is no enroll call or enrollment assertion; it partially aligns with EST initialization but does not verify enrollment over the authenticated channel. | Performs a simple enroll and asserts success and retrieval of cert, demonstrating happy-path enrollment over EST APIs; does not validate TLS version or HTTP semantics. | Standard client enroll and retrieval steps; supports EST client-facing RA role but does not verify server<>CA interactions or CA rollover. | This test asserts PKCS7 parsing and certificate extraction; it does not exercise CSR-ATTRS, server-generated keys provisioning, nor HTTPS transport semantics from the requirement. | The test sets the EST server to a port named US1883_TCP_PORT and asserts successful processing of server-supplied cert data (p7 != NULL), which evidences TLS-over-TCP operations. No DTLS/UDP tests present. | Initializes client and enables token HTTP auth, showing HTTP-layer authentication configuration though not directly asserting network transport in this snippet.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us2174.c,partially_covered,partial,"Chunk is certificate data; cannot be mapped to the unspecified requirement. | No evidence of assertions verifying any concrete requirement behavior. | Invokes a simple enroll that uses an auth token callback and asserts the callback was called, covering token-based authentication in an EST enroll scenario. Does not assert TLS version or HTTP specifics. | Initializes client with manual cert verification, sets auth callback, configures server and asserts enroll success; demonstrates authenticated EST enrollment but lacks TLS version assertion or HTTP-level verification. | Shows retrieval of enrolled cert and re-initialization to exercise token auth; demonstrates workflows around authenticated enrollment but not explicit TLS version checks. | Setup for simple_enroll which is used elsewhere; covers initialization and auth callback registration relevant to authenticated EST enrollment. | Client enrollment via proxy/TCP port and credential callback demonstrates client-facing behaviors; lacks assertions about server contacting CA or rollover. | Shows client retrieval and reconfiguration of server auth mode; demonstrates client/server behavior but not server<>CA communication or CA rollover testing. | Configures client context and server address for proxy tests and sets auth callback; does not call CSR-ATTRS or provisioning APIs directly in this chunk. | Performs enroll which is general EST functionality, but this chunk does not exercise the CSR-ATTRS or server-generated-keys extensions or explicitly assert HTTPS header/media-type interplay. | Enroll flow over proxy context; chunk does not call CSR-ATTRS or provisioning APIs nor assert header/media-type usage. | The test sets the EST server address using a symbol named US2174_TCP_PORT, which semantically indicates use of a TCP port. There is no assertion of a successful TLS/TCP connection in this snippet, and nothing about DTLS/UDP, so it only weakly supports the 'HTTPS over TCP' aspect. | Shows interaction with token-based HTTP auth and client cert handling after enrollment (TLS certificate usage), but does not directly assert TCP/TLS handshake behavior.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3496.c,partially_covered,partial,"Certificate data only; no link to any specified behavior. | This test validates URI path-segment validation returning EST_ERR_HTTP_INVALID_PATH_SEGMENT. It is relevant to HTTP path validation but does not exercise the CSR-ATTRS or server-generated-keys extensions or TLS header/media-type usage described in the requirement. | This test asserts path-segment validation (EST_ERR_HTTP_INVALID_PATH_SEGMENT) which is an HTTP-level validation; it does not address the transport-layer statement (HTTPS over TCP) nor DTLS/UDP support. | Directly asserts HTTP-specific URI path validation producing EST_ERR_HTTP_INVALID_PATH_SEGMENT, showing HTTP-layer processing and error reporting.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3512.c,partially_covered,partial,"No test assertions or logic present that verify an unspecified requirement. | Chunk contains certificate-like content; cannot be tied to the unspecified requirement. | Reads CA certificates and initializes client context (setup relevant to secure transport) but this chunk does not perform or assert an enroll operation. | Supports client retrieval of enrolled certificate from EST, consistent with RA-like provisioning but not with server<>CA behavior tests. | Parameterized expectations for enrollment demonstrate client<->EST flows; does not verify EST server behavior with CA or rollover. | Client flow shows enrollment success via EST server. Server<->CA behavior and CMP rollover adoption are not asserted. | Starts a proxy on a port named US3512_TCP_PROXY_PORT; indicates a TCP-based proxy; no explicit TLS/TCP connect assertions in this snippet and no DTLS/UDP tests. | Client initialization, auth set, and server set to a TCP proxy port plus CU_ASSERT on auth indicate TLS/TCP usage in test setup. No DTLS/UDP assertions. | Configures server IP/port and path segment and successfully exercises csrattrs and enroll operations, demonstrating HTTP/TLS over TCP including URI/path handling. | Configures server with a path segment and auth then manipulates test state; demonstrates HTTP URI/path layer interaction though not explicitly performing a network exchange in this snippet. | This chunk is header/includes/externs only and contains no executable assertions exercising protocol layering. | Client initialization and server configuration with path segment indicates HTTP URI handling; no direct network assertions in this snippet. | Uses a TCP proxy port and path segment for server config showing interaction with TCP/proxy layer; not performing end-to-end assert in this chunk.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us3612.c,partially_covered,partial,Contains certificate retrieval assertions after an enroll-like flow; demonstrates client-side assertion of enrollment result but not transport/protocol assertions. | Header includes only; no transport assertions.,est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
RQ1,"[Chunk 0] REQUIREMENT 1 [Chunk 1] This document profiles certificate enrollment for clients using Certificate Management over CMS (CMC) [RFC5272] messages over a secure transport. Enrollment over Secure Transport (EST) describes the use of Transport Layer Security (TLS) 1.1 [RFC4346], 1.2 [RFC5246], or any future version) and Hypertext Transfer Protocol (HTTP) [RFC2616] to provide an authenticated and authorized channel for Simple Public Key Infrastructure (PKI) Requests and Responses [RFC5272] [Chunk 2] . Architecturally, the EST service is located between a Certification Authority (CA) and a client. It performs several functions traditionally allocated to the Registration Authority (RA) role in a PKI. The nature of communication between an EST server and a CA is not described in this document. EST adopts the Certificate Management Protocol (CMP) [RFC4210] model for CA certificate rollover, but it does not use the CMP message syntax or protocol [Chunk 3] . EST servers are extensible in that new functions may be defined to provide additional capabilities not specified in CMC [RFC5272], and this document defines two such extensions: one for requesting Certificate Signing Request attributes and another for requesting server-generated keys. EST specifies how to transfer messages securely via HTTP over TLS (HTTPS) [RFC2818], where the HTTP headers and media types are used in conjunction with TLS [Chunk 4] . HTTPS operates over TCP; this document does not specify EST over HTTP/Datagram Transport Layer Security/User Datagram Protocol (HTTP/DTLS/UDP). With a suitable specification for combining HTTP, DTLS, and UDP, there are no EST requirements that would prevent it from working over such a stack. Figure 1 shows how the layers build upon each other. [Chunk 5] EST Layering: Protocols: +--------------------------------------------+ | | | EST request/response messages | | | +--------------------------------------------+ | | | HTTP for message transfer and signaling | | | +--------------------------------------------+ | | | TLS for transport security | | | +--------------------------------------------+ | | | TCP for transport | | | +--------------------------------------------+ Figure 1",us4020.c,partially_covered,partial,"Client enrollment test demonstrates EST functionality from client perspective; lacks server<>CA comms verification or rollover tests. | Exhibits enroll over a domain name and TLS; not directly exercising CSR-ATTRS or server-generated-keys provisioning or header/media-type content checks. | This test sets a server port explicitly labeled TCP, performs enroll over the client stack, and asserts success; this is substantive evidence that EST functions over TLS/TCP. It does not test or assert anything about DTLS/UDP. | Header includes only; no test logic or assertions showing transport behavior. | Similar to chunk39: sets a TCP-labeled server port and asserts successful enroll, indicating TLS over TCP behavior. No DTLS/UDP coverage. | Configures HTTP auth, server IP and TCP port and performs enroll over TLS; success assertions confirm layered transport usage. | Same as above: configures auth and server and validates enroll operation — evidence of HTTP over TLS over TCP. | Asserts a TCP-level connect error (EST_ERR_IP_CONNECT) when attempting enroll, directly evidencing TCP transport behavior underlying EST operations. | Another explicit enroll success using server IP/port showing HTTP/TLS over TCP stack used by EST client. | Same pattern: configures server and performs enroll, verifying HTTP/TLS use.",est.c | est.h | est_client.c | est_client_http.c | est_client_proxy.c | est_locl.h | est_ossl_util.c | est_proxy.c | est_server.c | est_server.h | est_server_http.c
