Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC154,not_covered,weak,"TC154 describes decomposing a requirement and sending a decompose event and temporary links, but it does not mention use of a 3rd party tool (DOORS) or any interaction with such a tool.",—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC155,not_covered,weak,TC155 describes refining a requirement and sending a refine event with temporary links; there is no mention of DOORS or any 3rd party RM tool interaction.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC156,not_covered,weak,TC156 describes modifying a requirement and sending a modify event; it does not indicate that the requirement is managed in DOORS or another 3rd party tool.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC158,not_covered,weak,"TC158 covers merging requirements and related link reassignment, but it does not reference DOORS or other 3rd party RM tool usage.",—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,covered,full,The test explicitly states the system polls DOORS to obtain requirement-related quantitative information and uses that information to construct and send composite event messages. This demonstrates integration with DOORS as the 3rd party RM tool named in the requirement.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC141,not_covered,weak,"TC141 covers establishing a trace between a UML artifact and a requirement by a registered subscriber. It addresses trace functionality, not management of non-requirement artifacts in third-party tools.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC142,not_covered,weak,"TC142 describes a non-registered subscriber attempting to establish a trace; focuses on trace establishment authorization and expected postcondition that no trace is established. No mention of third-party tools (Rational Rose, Clear case) or management of non-requirement artifacts.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC154,not_covered,weak,TC154 addresses decomposing a requirement and related event messages and temporary links. No mention of third-party tool management for non-requirement artifacts.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC155,not_covered,weak,TC155 concerns refining a requirement and sending refine events with temporary links. It does not reference or validate management of non-requirement artifacts in external tools such as Rational Rose or Clear case.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC157,not_covered,weak,"TC157 covers deleting a requirement and resulting link/postcondition behaviors. This concerns requirement lifecycle and link states, not management of non-requirement artifacts in third-party tools.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC162,not_covered,weak,TC162 describes event server constructing composite event messages by polling DOORS and sending customized messages to subscribers. It references DOORS (a requirements tool) but does not describe managing non-requirement artifacts in third-party tools such as Rational Rose or Clear case; therefore it does not verify RQ101.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC165,not_covered,weak,"TC165 concerns a user processing event messages and updating links; it addresses link selection and event processing behavior, not integration with or management in external tools like Rational Rose or Clear case.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC141,partially_covered,partial,This test asserts the positive/happy-path: a registered subscriber successfully establishes a trace. It demonstrates allowance but does not by itself show that non-registered subscribers are prevented.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC142,partially_covered,partial,This test explicitly asserts the negative/deny behavior required by RQ102 (non-registered subscriber attempts to establish a trace and no trace is established). It covers the prohibition side but alone does not exercise the positive allowance.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC143,not_covered,weak,"This test verifies that a subscriber can register with a subscriber manager (registration flow). While registration is a prerequisite for RQ102, the test does not itself assert that only registered subscribers may establish traces.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC144,not_covered,weak,This test concerns a subscriber failing to register and being removed. It does not assert behavior about trace establishment attempts by non-registered vs registered subscribers.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC146,not_covered,weak,This test verifies subscriber manager registration with an event server and does not assert trace-establishment permission enforcement for subscribers.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC149,not_covered,weak,This test concerns event notification handling for registered subscribers and does not assert trace-establishment permission enforcement.,—
RQ103,RQ103 A user shall register as a subscriber.,TC142,not_covered,weak,TC142 concerns actions by a non-registered subscriber (attempting to establish a trace) and asserts that no trace is established; it does not verify successful registration behavior required by RQ103.,—
RQ103,RQ103 A user shall register as a subscriber.,TC143,covered,full,"TC143 explicitly exercises the registration action and asserts the postcondition that the subscriber is registered under the subscriber manager, directly satisfying the requirement's behavior.",—
RQ103,RQ103 A user shall register as a subscriber.,TC144,partially_covered,weak,"TC144 addresses the registration process but covers a failure/negative path (subscriber does not complete registration). It is topically related but does not assert a successful registration, so it does not fully verify the requirement's positive behavior.",—
RQ103,RQ103 A user shall register as a subscriber.,TC146,not_covered,weak,TC146 exercises Subscriber Manager registration with an event server; it does not relate to a user registering as a subscriber and contains no assertions about subscriber registration.,—
RQ103,RQ103 A user shall register as a subscriber.,TC147,not_covered,weak,TC147 concerns real-time event publication and subscription state; it does not contain assertions about a user registering as a subscriber.,—
RQ103,RQ103 A user shall register as a subscriber.,TC149,not_covered,weak,TC149 concerns event notification receipt and logging for subscriber managers; it does not assert or verify that a user registers as a subscriber.,—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC143,covered,full,"The test step explicitly performs registration with a subscriber manager and the postcondition asserts the subscriber is registered under that manager, directly satisfying the requirement's mandated behavior.",—
