Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_verified,partial,True,Shows polling DOORS to read requirement data (integration/read access) but does not demonstrate management operations (create/update/delete/synchronization/auth/error handling) in DOORS.
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC141,no_assertion_evidence,weak,True,The test asserts trace establishment involving a UML artifact but does not assert that the UML artifact is managed or stored in a named 3rd-party tool (Rational Rose/ClearCase) or exercise external-tool interactions.
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC142,no_assertion_evidence,weak,True,"The test asserts absence of trace for an unregistered subscriber involving a UML artifact but does not assert management, storage, or synchronization of that artifact in a named 3rd-party tool."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,assertions_verified,full,False,"The test's postcondition explicitly asserts that a registered subscriber establishes a trace, directly verifying the 'allowed' behavior."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,assertions_verified,full,False,"The test's postcondition explicitly asserts that a non-registered subscriber does not establish a trace, directly verifying the 'prohibited' behavior."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,assertions_verified,full,False,"The test includes a registration step and a postcondition asserting the subscriber is registered, directly matching the requirement."
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,assertions_verified,full,False,The test step explicitly performs the subscriber registration and the postcondition asserts the subscriber is registered under the subscriber manager.
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC144,assertions_verified,partial,False,Documents the failure path (subscriber does not complete registration and is removed) but does not demonstrate successful registration.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,partially_verified,full,True,"Postcondition explicitly asserts the trace between UML artifact and requirement, directly covering the requirement's core behavior."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,partially_verified,partial,True,"Negative case verifies prevention of trace establishment for an unregistered subscriber, covering an important error path but not the successful subscription creation."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC162,partially_verified,partial,True,"Demonstrates discovery/use of artifact↔requirement links and notification delivery, but does not assert subscription creation by the artifact or user."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC147,partially_verified,weak,True,"Subscription existence is a precondition rather than exercised or created in the test, so it does not verify subscription-creation behavior required by the requirement."
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC143,partially_verified,full,True,Directly asserts subscriber registration and postcondition that the subscriber is registered under the subscriber manager (covers registration happy path).
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC144,partially_verified,partial,True,Exercises negative path when placement under a subscriber manager does not occur but does not demonstrate successful artifact placement.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC147,partially_verified,partial,True,Shows subscription and notification behavior consistent with manager control but does not assert explicit placement of named artifact objects under manager control.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC162,partially_verified,partial,True,Documents event-server linking of requirements to an artifact and routing to subscribers but lacks explicit assertions that each artifact is placed under a subscriber manager with recorded ownership.
RQ107,requirements.txt::chunk7,RQ107	The user shall be able to delete subscriptions.,TC145,assertions_verified,full,False,"Contains the step 'The user deletes the subscription' and postcondition 'The subscription has been deleted,' which directly verify the requirement."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC146,partially_verified,full,True,This test explicitly asserts the registration action and that the subscriber manager is registered with the event server.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC148,partially_verified,weak,True,This test asserts that the manager downloads missed notifications on coming online but does not assert registration or re-registration with the eventserver.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC149,partially_verified,weak,True,This test asserts receipt and storage of event notifications but does not assert that registration with the eventserver occurred prior to receipt.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC150,partially_verified,weak,True,This test asserts receipt and processing of speculative notifications but does not include assertions about registration with the eventserver.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC161,partially_verified,weak,True,This test shows eventserver-to-manager notification behavior but does not assert that the subscriber manager performed registration with the eventserver.
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC161,assertions_verified,full,False,"Directly asserts server-initiated sends to subscriber managers (identifies IP/port) and that messages are received, matching the push and delivery aspects of the requirement."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC147,assertions_verified,partial,False,"Specifies the subscriber manager is online and labels the scenario 'in real time' and shows an event notification being sent, supporting the conditional and timeliness aspects but not using explicit 'push model' terminology."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC149,assertions_verified,partial,False,"Asserts send and receipt by the subscriber manager, supporting delivery, but lacks an explicit online-state precondition and explicit 'push model' wording."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC150,assertions_verified,partial,False,"Shows notification sending and receipt, supporting delivery to subscriber managers but does not state an explicit online precondition or explicitly label the interaction as the 'push model'."
RQ110,requirements.txt::chunk10,RQ110	Whenever the subscriber manager first comes on line; it shall implement the pull model to retrieve outstanding event messages from the eventserver.,TC148,assertions_verified,full,False,"The test directly asserts that with the manager offline and stored notifications present, when ""The subscriber manager comes online"" it ""has successfully downloaded the relevant event notifications from the event server."""
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC148,assertions_verified,full,False,"The test asserts that the subscriber manager downloads missed notifications, which demonstrates receipt on behalf of managed artifacts."
